#,Company,Symbol,Portfolio%,Price
284,"West Pharmaceutical Services, Inc.",WST,0.07%,356.21
285,"Cardinal Health, Inc.",CAH,0.07%,101.12
286,"American Water Works Company, Inc",AWK,0.07%,130.87
287,Take-Two Interactive Software Inc,TTWO,0.07%,158.57
288,Fortive Corporation,FTV,0.06%,72.18
289,Ansys Inc,ANSS,0.06%,297.45
290,Resmed Inc.,RMD,0.06%,169.91
291,Aptiv Plc,APTV,0.06%,87.3
292,State Street Corporation,STT,0.06%,77.19
293,Willis Towers Watson Public Limited Companys,WTW,0.06%,238.72
294,Weyerhaeuser Company,WY,0.06%,33.55
295,"Zimmer Biomet Holdings, Inc.",ZBH,0.06%,118.8
296,"Ulta Beauty, Inc.",ULTA,0.06%,488.48
297,"The Hartford Financial Services Group, Inc.",HIG,0.06%,80.46
298,Tractor Supply Co,TSCO,0.06%,215.73
299,T Rowe Price Group Inc,TROW,0.06%,106.76
300,M&t Bank Corp.,MTB,0.06%,137.13
301,Lyondellbasell Industries N.v. Class A,LYB,0.06%,95.5
302,Fifth Third Bancorp,FITB,0.06%,35.05
303,Corning Incorporated,GLW,0.06%,30.1
304,"Pultegroup, Inc.",PHM,0.06%,102
305,Dte Energy Company,DTE,0.06%,109.82
306,Broadridge Financial Solutions Inc,BR,0.06%,196.71
307,Ebay Inc,EBAY,0.06%,42.5
308,"Nvr, Inc.",NVR,0.06%,"6,840.00"
309,"Church & Dwight Co., Inc.",CHD,0.06%,92.93
310,Hewlett Packard Enterprise Company,HPE,0.06%,16.79
311,Eversource Energy,ES,0.06%,61.98
312,Entergy Corporation,ETR,0.05%,101.53
313,Wabtec Inc.,WAB,0.05%,122.67
314,"Molina Healthcare, Inc.",MOH,0.05%,366.24
315,Dover Corporation,DOV,0.05%,151.8
316,Equity Residential,EQR,0.05%,61.58
317,"Alexandria Real Estate Equities, Inc.",ARE,0.05%,129.09
318,"Raymond James Financial, Inc.",RJF,0.05%,111.4
319,Steris Plc,STE,0.05%,215.54
320,Illumina Inc,ILMN,0.05%,129.1
321,Howmet Aerospace Inc.,HWM,0.05%,53.19
322,International Flavors & Fragrances Inc.,IFF,0.05%,79.06
323,"Ptc, Inc",PTC,0.05%,171.84
324,Invitation Homes Inc.,INVH,0.05%,34.27
325,"Ventas, Inc.",VTR,0.05%,49.21
326,"Expedia Group, Inc.",EXPE,0.05%,148.47
327,Teledyne Technologies Incorporated,TDY,0.05%,425.97
328,"Fleetcor Technologies, Inc.",FLT,0.05%,277.95
329,Iron Mountain Inc.,IRM,0.05%,68.32
330,Ppl Corporation,PPL,0.05%,26.82
